ids,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
1000245024,Safer Home,Hardware,Technology,CAD,2015-07-03,50000,2015-06-03 5:52,0,failed,0,CA,0,0,39739.31
100039820,Best Spray Bottle Ever - SureShot,Gadgets,Technology,CAD,2015-03-07,25000,2015-02-05 16:57,3,failed,3,CA,2.41,2.36,19632.48
1000834930,Strawberry Fields Café and Patisserie,Food,Food,CAD,2017-01-23,50000,2016-12-01 21:16,0,failed,0,CA,0,0,38112.66
1001128468,The McKenzie Project,Photography,Photography,CAD,2017-06-01,500,2017-04-17 17:54,1845,successful,30,CA,153.82,1364.34,369.74
1001726950,Leonard Hodgins - Components,Indie Rock,Music,CAD,2015-05-22,3500,2015-04-07 22:00,51,failed,2,CA,40.87,41.8,2868.85
100173829,La Press: Make Soap at Home in 2 minutes. No Chemicals!,Gadgets,Technology,CAD,2017-11-11,40000,2017-09-12 5:11,0,failed,0,CA,86.46,0,31343.05
1002096459,Reusable Giant Coloring Poster in BLACK,Product Design,Design,CAD,2017-11-27,8000,2017-10-28 11:05,946,failed,18,CA,532.42,734.81,6214.07
1002344676,NO! - A game of quick moves and stolen turns,Tabletop Games,Games,CAD,2015-05-27,10000,2015-04-27 19:00,3969,failed,120,CA,3259.3,3189.75,8036.65
1002519316,"Your poem, by me.",Poetry,Publishing,CAD,2015-10-31,1000,2015-10-01 20:00,55,failed,3,CA,40.98,41.66,757.52
1002599863,Turn your messy Arduino projects into a clean design for 2$,DIY Electronics,Technology,CAD,2016-02-08,1000,2015-12-10 18:48,3035,successful,88,CA,2236.44,2179.85,718.24
100281397,Dragonfly,Conceptual Art,Art,CAD,2015-12-26,49786,2015-11-26 20:55,0,failed,0,CA,0,0,35858.54
1003074300,REST STOP & RESTAURANT,Restaurants,Food,CAD,2015-06-02,150000,2015-05-05 3:55,1,failed,1,CA,0.82,0.8,120000
1003083361,Magic Tower,Video Games,Games,CAD,2015-10-14,2500,2015-09-14 23:33,1,failed,1,CA,0.75,0.77,1933.94
1003240719,Boutique Disco Flash Québec,Music,Music,CAD,2015-06-24,425000,2015-04-29 17:32,1,failed,1,CA,0.83,0.81,343712.09
1003983201,Orillia Summer Theatre 2016,Theater,Theater,CAD,2016-03-31,1100,2016-02-21 21:24,1115,successful,17,CA,809.9,855.85,844.34
1004372197,Animal Playing Cards,Playing Cards,Games,CAD,2016-03-04,2800,2016-02-03 1:14,782,failed,5,CA,558.62,582.89,2087.06
1004941506,Maori MBT Awareness Centre,Web,Journalism,CAD,2017-10-18,2000000,2017-08-19 22:13,2242,failed,19,CA,1160.67,1794.46,1600768.37
1005072752,"Monocrane Reversible Leather Book Bag, with Photochromic Ink",Product Design,Design,CAD,2017-07-21,5000,2017-06-21 18:53,6382,successful,34,CA,1653.96,5066.69,3969.51
1005604448,Solo Art Show Miami,Mixed Media,Art,CAD,2016-11-13,9800,2016-10-14 5:29,683,failed,11,CA,0,505.36,7251.2
1005829490,Marcus Starr Solo Album Funding Campaign,Blues,Music,CAD,2017-08-04,1500,2017-07-05 16:03,1545,successful,16,CA,103.92,1228.92,1193.13
1005944574,Luna Game Engine,Video Games,Games,CAD,2016-07-14,80000,2016-06-14 3:38,0,failed,0,CA,0,0,62179.39
1006207132,Survey for a Change,Web,Journalism,CAD,2015-03-07,5000,2015-01-06 9:56,0,failed,0,CA,0,0,3926.5
1006461045,JP SilverBamboo: The first self-cleaning towel with Silver,Product Design,Design,CAD,2016-10-04,20000,2016-09-01 6:20,18028.6,failed,66,CA,1486.64,13584.96,15070.45
1006862039,Kronk the Neanderthal,Comic Books,Comics,CAD,2016-11-30,1500,2016-10-31 5:03,1711,successful,59,CA,556.3,1286.18,1127.57
10071048,"YELLOW, A short film",Narrative Film,Film & Video,CAD,2017-04-26,20000,2017-03-27 21:12,23400,successful,255,CA,2123.3,17149.14,14657.38
1007163014,"""The Establishment"" Feature Film entertainment project",Drama,Film & Video,CAD,2015-04-30,200000,2015-03-02 21:55,0,failed,0,CA,0,0,166389.35
1007232979,Collabrative Fashion Film,Experimental,Film & Video,CAD,2016-05-26,1000,2016-04-26 19:26,100,failed,1,CA,78.86,76.7,767.05
1007510708,"Horse Photography, Stock Photography and Love for my mom.",Animals,Photography,CAD,2015-06-25,5000,2015-05-26 4:46,0,failed,0,CA,0,0,4043.67
1007699549,Triple Vision Playing Cards (Relaunch),Playing Cards,Games,CAD,2016-05-19,5000,2016-05-02 19:00,5514,successful,157,CA,4393.59,4207.23,3815.05
100776736,Christmas Lights: Card Game,Tabletop Games,Games,CAD,2017-06-16,29500,2017-05-17 9:02,4592,failed,152,CA,0,3472.74,22309.61
1007962251,Harwood Hobbies Presents 28mm CULTIST Miniatures!,Tabletop Games,Games,CAD,2015-12-15,3200,2015-11-24 15:02,3337.24,successful,46,CA,2493.8,2391.26,2292.92
1008491921,Beautiful Women Of Toronto,People,Photography,CAD,2015-06-26,20000,2015-05-27 20:02,1500,failed,1,CA,1218.45,1213.1,16174.69
1008646958,KARBON Watch: Customizable Wood & Stainless Steel Watches,Jewelry,Fashion,CAD,2016-05-16,15000,2016-04-11 17:22,111692,successful,558,CA,86003.46,85222.04,11445.14
1008690768,Warriors of Lemuria,Video Games,Games,CAD,2015-04-22,5000,2015-03-23 13:31,1065,failed,20,CA,847.79,878.79,4125.75
1009333717,AraPacis album 5 - System Deceive,Metal,Music,CAD,2015-07-17,500,2015-05-18 17:13,577,successful,16,CA,480.26,444.6,385.27
1009489171,"Edge Goalkeeping, a new approach to goalkeeper gloves",Wearables,Technology,CAD,2015-04-04,2500,2015-03-16 16:07,346,failed,8,CA,270.66,273.22,1974.1
1009528252,Shape of the World,Video Games,Games,CAD,2015-07-01,75000,2015-06-01 15:17,79367.64,successful,1198,CA,63729.3,63080.31,59608.97
1009734006,Autant de Montréalais,Fine Art,Photography,CAD,2017-05-30,10000,2017-03-31 15:57,10,failed,1,CA,0,7.39,7394.81
1009738552,LD West® Innovation-Driven Style for Modern Men & Women,Accessories,Fashion,CAD,2016-12-01,15000,2016-10-31 18:46,3881,failed,30,CA,294.95,2917.39,11275.65
1009771343,CupShield. Spill proof your cup,Drinks,Food,CAD,2017-01-12,59000,2016-12-13 18:56,170,failed,6,CA,68.52,129.37,44897.65
1010814650,Atticus Drake: A World War Two Story,Comic Books,Comics,CAD,2017-10-19,1100,2017-09-19 6:10,1518.5,successful,43,CA,30.37,1215.38,880.42
1010999300,Untethered VR Center. Stage 1.,Video Games,Games,CAD,2017-09-01,2200,2017-08-24 22:55,57,failed,3,CA,0,45.82,1768.35
1011170380,Nintendo Switch Replacement Shell - Atomic Purple,Gaming Hardware,Games,CAD,2017-09-11,2125,2017-08-12 16:13,3773,successful,99,CA,2717.27,3108.68,1750.84
1011289637,SEPTEMBRYO: You were born for a reason Issue #2,Comic Books,Comics,CAD,2016-09-22,1300,2016-08-23 18:07,1313,successful,28,CA,38.73,1006.75,996.78
1012261986,Impression CD de Territoires - 1er album de l'Oumigmag,Jazz,Music,CAD,2017-03-28,900,2017-03-07 19:57,1706,successful,40,CA,41.8,1278.57,674.51
1012379130,"Figchii: Chibi-styled stickers, pencil cases and notebooks",Crafts,Crafts,CAD,2016-03-11,300,2016-02-11 17:06,203,failed,7,CA,145.95,153.17,226.36
1012775577,Henderson Brewing - Beer Meet Keg,Drinks,Food,CAD,2015-12-31,55000,2015-11-02 22:32,55813,successful,188,CA,42668.7,40199.51,39613.94
1012792588,Teen Self Esteem Program and Guidebook: Powerful You,Nonfiction,Publishing,CAD,2015-02-03,8000,2015-01-06 22:00,2484,failed,45,CA,2104.91,1995.98,6428.28
101279635,GUMMER,Children's Books,Publishing,CAD,2015-07-12,750,2015-06-13 0:34,0,failed,0,CA,0,0,577.9
1013186170,"Pure, hand-poured, Canadian made, soy candles",Candles,Crafts,CAD,2015-04-01,5000,2015-03-02 22:37,0,failed,0,CA,0,0,3954.44
1013373332,Kipod Creative DIY Wooden Toys : POM POM ANIMALS,Product Design,Design,CAD,2015-05-04,30000,2015-03-25 7:05,13794,failed,177,CA,10999.47,11397.17,24787.24
1013466522,'What Was Felt Back Then' A poetry anthology by Liam Fleming,Poetry,Publishing,CAD,2017-10-08,700,2017-09-26 6:43,1023,successful,30,CA,46.22,818.47,560.04
1013661120,Bicycle Disc Brake Tab Attachment Fixture/jig,Fabrication Tools,Technology,CAD,2015-03-22,2500,2015-02-20 20:56,1005,failed,6,CA,808.11,803.42,1998.56
1013680688,Exotic Custom Wooden Pens!,Woodworking,Crafts,CAD,2016-03-02,800,2016-02-01 4:31,3790,successful,41,CA,2709.26,2824.99,596.3
1014227114,Rise - The Quest for Physical Copies,Electronic Music,Music,CAD,2015-02-05,3000,2015-01-06 19:55,9793.25,successful,206,CA,8298.68,7869.22,2410.61
1014692209,Orin Acute Universal Joint And Inot Ball Lock,Gadgets,Technology,CAD,2015-05-08,1000,2015-03-31 23:35,80,failed,5,CA,63.4,66.1,826.24
1014819105,Grandma Mabel's Chocolate Candy Kit,Food,Food,CAD,2017-01-04,40851,2016-12-01 6:16,3778,failed,47,CA,33.48,2849.6,30812.34
1015685046,Organic Tattoo remains 10 days (Self use & custom designs),Accessories,Fashion,CAD,2016-01-01,6000,2015-12-07 18:21,100,failed,2,CA,74.84,70.89,4253.51
1015877909,West Canada - A Coffee Table Book,Nature,Photography,CAD,2016-07-04,1500,2016-06-04 5:40,677,failed,12,CA,517.77,520.21,1152.6
1015884821,The Arduino PLAYBOT! An educational all-in-one project set!,DIY Electronics,Technology,CAD,2017-04-05,3000,2017-02-24 23:48,4635,successful,49,CA,2067.01,3456.12,2236.97
1016162015,UFO MUG,Product Design,Design,CAD,2015-12-05,2000,2015-11-05 15:35,41,failed,3,CA,31.4,30.01,1463.7
1016215262,Rudaea TCG - Trading Card Game,Tabletop Games,Games,CAD,2017-03-21,75000,2017-02-19 6:40,959,failed,19,CA,332.99,717.17,56087.35
1016261967,Small Batch Coffee for the Black,Drinks,Food,CAD,2015-02-16,10000,2015-01-17 2:15,76,failed,4,CA,63.51,61.01,8028.26
101652700,Kooperman on the Big Screen!,Comedy,Film & Video,CAD,2015-11-11,2870,2015-10-12 1:38,2870,successful,94,CA,2216.24,2157.08,2157.08
1016630987,Don't Walk Among the Dead - A Post Apocalyptic Short Film,Thrillers,Film & Video,CAD,2016-09-15,9800,2016-08-16 17:51,11102,successful,94,CA,908.4,8411.24,7424.8
1016790310,SkyBoats - Sail the Skies,Video Games,Games,CAD,2016-08-12,1000,2016-07-13 23:11,1091,successful,53,CA,456.8,840.85,770.71
1017294310,Brom - Malaise,Hip-Hop,Music,CAD,2017-07-26,2000,2017-06-26 17:34,2872,successful,49,CA,363.43,2289.72,1594.51
1017352501,Le Cerbère en Vidéoclip!,Indie Rock,Music,CAD,2015-11-16,1000,2015-10-17 1:07,1115,successful,32,CA,862.61,837.53,751.15
1017512648,The BB-MT (big bite-multi tool),Product Design,Design,CAD,2015-10-17,1300,2015-09-22 2:55,40,failed,5,CA,30.24,30.61,994.87
10176166,Natural Makes Scents,DIY,Crafts,CAD,2015-05-13,5000,2015-03-14 18:38,34,failed,3,CA,26.76,28.25,4153.86
1017646245,Tailwind - Affordable Smart Home Automation Made Simple,Gadgets,Technology,CAD,2016-01-06,125000,2015-12-07 18:52,4698,failed,55,CA,3515.9,3330.5,88614.77
1017647710,Nearbuds™ for AirPods™ - Magnetic clips with a safety strap.,Gadgets,Technology,CAD,2017-05-09,25000,2017-04-04 13:01,11230,failed,40,CA,25.54,8174.41,18197.7
1018102044,Be a Turtle (and Other Secrets to a Happy Life),Webcomics,Comics,CAD,2017-03-04,10000,2017-02-01 16:14,23330.99,successful,334,CA,6372.09,17277.1,7405.21
1018486946,Daymak Photon Scooter,Hardware,Technology,CAD,2015-07-27,30000,2015-06-18 18:10,35288.5,successful,68,CA,28688.2,27045.14,22992.03
1018574123,Viola meets Mooresburg,Knitting,Crafts,CAD,2015-12-06,5000,2015-11-16 18:00,18846.5,successful,143,CA,14145.59,13792.81,3659.25
1018619714,Ah-Sitake HA! - Animal Ninjas Card Battling Game... of DOOM!,Tabletop Games,Games,CAD,2016-11-04,5,2016-10-11 19:05,239,successful,12,CA,92,177.92,3.72
1018736762,Help Sail With Kings record an album!,Country & Folk,Music,CAD,2015-05-24,15000,2015-03-25 3:47,441,failed,9,CA,350.37,354.42,12054.97
1019180618,Polarized Floating Sunglasses Engineered for Life on Water,Product Design,Design,CAD,2017-06-30,1000,2017-05-31 2:18,17033,successful,184,CA,1105.63,13146.8,771.84
1019225057,Artists In Muskoka ~ The Co-op Studio & Gallery,Mixed Media,Art,CAD,2015-02-07,15000,2015-01-08 0:23,1,failed,1,CA,0.85,0.8,11992.32
1019607876,"Eggs, Bunnies and a Giggling God",Children's Books,Publishing,CAD,2016-12-16,7000,2016-10-17 1:09,156,failed,5,CA,95.07,116.65,5234.43
1019666150,HEROD THE GREAT Comic,Comic Books,Comics,CAD,2017-07-25,9500,2017-06-20 6:45,9551,successful,51,CA,293.51,7614.61,7573.95
1019770517,Team 6040: GetoBotics,Robots,Technology,CAD,2016-02-29,500,2016-02-04 22:55,591,successful,5,CA,419.91,440.52,372.69
1020255788,LANTERN: The Ultimate Multifunctional Light!,Technology,Technology,CAD,2016-06-24,30000,2016-05-25 18:23,30628.6,successful,192,CA,23292.69,23549.59,23066.28
1020312401,Annu-Art,Art,Art,CAD,2015-07-15,13000,2015-06-15 17:48,0,failed,0,CA,0,0,10016.95
1020328630,Career Matchmaker & Job Searching app,Apps,Technology,CAD,2015-11-10,50000,2015-10-06 4:06,0,failed,0,CA,0,0,37579.86
1020453875,"HJ-Story Vol. 1, 2 and NOW 3!",Webcomics,Comics,CAD,2015-02-15,15000,2015-01-16 14:56,85558.3,successful,873,CA,71502.48,68688.42,12042.39
